[25/04/24, 6:52:55 PM] O2: Shsus
[01/08/24, 11:59:31 PM] Aman: ok then call kare kya phir abhi?
[01/08/24, 11:59:39 PM] Aman: or baad me?
[02/08/24, 12:00:26 AM] O2: thik h krte h
[02/08/24, 12:00:51 AM] Aman: ok 1 min aa rha phir
[02/08/24, 12:04:00 AM] O2: thik h
‎[02/08/24, 12:38:39 AM] Aman: ‎image omitted
[02/08/24, 1:13:25 AM] Aman: kaun h?
‎[02/08/24, 7:33:50 PM] Aman: ‎GIF omitted
[02/08/24, 7:34:06 PM] Aman: 😍😍😘🥰
[02/08/24, 7:34:18 PM] Aman: ❤️
[02/08/24, 8:02:05 PM] O2: Kya hua
[02/08/24, 8:07:50 PM] Aman: Yeh bhi I have to tell u?
[02/08/24, 8:08:20 PM] O2: 😗😗
[02/08/24, 8:08:35 PM] O2: Oh dp?
[02/08/24, 9:47:38 PM] Aman: Ji😘🥰😍
[02/08/24, 9:55:55 PM] O2: achha😂
‎[07/08/24, 12:21:50 AM] Aman: ‎image omitted
‎[07/08/24, 2:16:38 AM] O2: ‎image omitted
[08/08/24, 7:31:51 PM] Aman: ❤️
‎[08/08/24, 7:36:19 PM] O2: M3 deocde (1) (1) (1).pdf • ‎323 pages ‎document omitted
‎[11/08/24, 3:08:25 AM] O2: ‎image omitted
‎[15/08/24, 10:55:52 PM] Aman: ‎image omitted
[15/08/24, 11:01:16 PM] O2: 🥵🥵
‎[16/08/24, 12:32:49 AM] O2: ‎image omitted
‎[16/08/24, 12:36:22 AM] O2: ‎image omitted
[18/08/24, 12:46:57 AM] Aman: busy ho kya?
[18/08/24, 12:47:05 AM] Aman: another call
[18/08/24, 12:47:06 AM] O2: Nhi to
[18/08/24, 12:47:14 AM] O2: Tumne cit kiya🥺
[18/08/24, 12:47:20 AM] Aman: ok
[18/08/24, 12:47:27 AM] Aman: call place nhi ho rhi
[18/08/24, 12:47:29 AM] Aman: u do
[18/08/24, 12:48:24 AM] O2: Network issue hai kya
[18/08/24, 12:48:28 AM] O2: Tum kro
[18/08/24, 12:48:43 AM] Aman: axa wait
‎[18/08/24, 1:54:29 AM] O2: ‎image omitted
‎[18/08/24, 1:55:13 AM] O2: ‎image omitted
‎[18/08/24, 1:55:49 AM] O2: ‎image omitted
[18/08/24, 1:56:17 AM] Aman: aur
[18/08/24, 1:59:03 AM] Aman: nhi aayi
‎[18/08/24, 1:59:25 AM] O2: ‎image omitted
‎[18/08/24, 1:59:28 AM] O2: ‎image omitted
‎[18/08/24, 1:59:30 AM] O2: ‎image omitted
‎[18/08/24, 1:59:30 AM] O2: ‎image omitted
‎[18/08/24, 1:59:30 AM] O2: ‎image omitted
‎[18/08/24, 1:59:31 AM] O2: ‎image omitted
‎[18/08/24, 1:59:33 AM] O2: ‎image omitted
‎[18/08/24, 1:59:33 AM] O2: ‎image omitted
‎[18/08/24, 1:59:34 AM] O2: ‎image omitted
‎[18/08/24, 1:59:34 AM] O2: ‎image omitted
‎[18/08/24, 1:59:34 AM] O2: ‎image omitted
‎[18/08/24, 1:59:35 AM] O2: ‎image omitted
‎[18/08/24, 1:59:35 AM] O2: ‎image omitted
[18/08/24, 1:59:35 AM] O2: ‎This message was deleted.
[18/08/24, 1:59:36 AM] O2: ‎This message was deleted.
[18/08/24, 1:59:36 AM] O2: ‎This message was deleted.
‎[18/08/24, 1:59:37 AM] O2: ‎image omitted
‎[18/08/24, 1:59:38 AM] O2: ‎image omitted
‎[18/08/24, 1:59:38 AM] O2: ‎image omitted
‎[18/08/24, 1:59:41 AM] O2: ‎image omitted
‎[18/08/24, 1:59:41 AM] O2: ‎image omitted
‎[18/08/24, 1:59:42 AM] O2: ‎image omitted
‎[18/08/24, 1:59:42 AM] O2: ‎image omitted
‎[18/08/24, 1:59:43 AM] O2: ‎image omitted
‎[18/08/24, 1:59:43 AM] O2: ‎image omitted
[18/08/24, 1:59:43 AM] O2: ‎This message was deleted.
‎[18/08/24, 1:59:44 AM] O2: ‎image omitted
[18/08/24, 1:59:45 AM] O2: ‎This message was deleted.
‎[18/08/24, 1:59:45 AM] O2: ‎image omitted
‎[18/08/24, 1:59:46 AM] O2: ‎image omitted
‎[18/08/24, 1:59:47 AM] O2: ‎image omitted
‎[18/08/24, 1:59:48 AM] O2: ‎image omitted
‎[18/08/24, 1:59:48 AM] O2: ‎image omitted
‎[18/08/24, 1:59:49 AM] O2: ‎image omitted
‎[18/08/24, 1:59:49 AM] O2: ‎image omitted
‎[18/08/24, 1:59:50 AM] O2: ‎image omitted
‎[18/08/24, 1:59:50 AM] O2: ‎image omitted
‎[18/08/24, 1:59:51 AM] O2: ‎image omitted
‎[18/08/24, 1:59:52 AM] O2: ‎image omitted
‎[18/08/24, 1:59:52 AM] O2: ‎image omitted
‎[18/08/24, 1:59:54 AM] O2: ‎image omitted
‎[18/08/24, 1:59:55 AM] O2: ‎image omitted
‎[18/08/24, 1:59:56 AM] O2: ‎image omitted
‎[18/08/24, 1:59:56 AM] O2: ‎image omitted
‎[18/08/24, 1:59:57 AM] O2: ‎image omitted
‎[18/08/24, 1:59:58 AM] O2: ‎image omitted
‎[18/08/24, 1:59:58 AM] O2: ‎image omitted
‎[18/08/24, 1:59:59 AM] O2: ‎image omitted
‎[18/08/24, 1:59:59 AM] O2: ‎image omitted
‎[18/08/24, 2:00:00 AM] O2: ‎image omitted
‎[18/08/24, 2:00:00 AM] O2: ‎image omitted
‎[18/08/24, 2:00:01 AM] O2: ‎image omitted
‎[18/08/24, 2:00:01 AM] O2: ‎image omitted
‎[18/08/24, 2:00:01 AM] O2: ‎image omitted
‎[18/08/24, 2:00:04 AM] O2: ‎image omitted
‎[18/08/24, 2:00:04 AM] O2: ‎image omitted
‎[18/08/24, 2:00:05 AM] O2: ‎image omitted
‎[18/08/24, 2:00:05 AM] O2: ‎image omitted
‎[18/08/24, 2:00:06 AM] O2: ‎image omitted
‎[18/08/24, 2:00:06 AM] O2: ‎image omitted
‎[18/08/24, 2:00:07 AM] O2: ‎image omitted
‎[18/08/24, 2:00:07 AM] O2: ‎image omitted
[18/08/24, 2:00:08 AM] O2: ‎This message was deleted.
[18/08/24, 2:00:08 AM] O2: ‎This message was deleted.
[18/08/24, 2:00:09 AM] O2: ‎This message was deleted.
[18/08/24, 2:00:09 AM] O2: ‎This message was deleted.
[18/08/24, 2:00:10 AM] O2: ‎This message was deleted.
[18/08/24, 2:00:11 AM] O2: ‎This message was deleted.
[18/08/24, 2:00:12 AM] O2: ‎This message was deleted.
‎[18/08/24, 2:00:12 AM] O2: ‎image omitted
‎[18/08/24, 2:00:12 AM] O2: ‎image omitted
‎[18/08/24, 2:00:13 AM] O2: ‎image omitted
‎[18/08/24, 2:00:13 AM] O2: ‎image omitted
‎[18/08/24, 2:00:13 AM] O2: ‎image omitted
‎[18/08/24, 2:00:14 AM] O2: ‎image omitted
[18/08/24, 3:09:29 PM] O2: https://www.figma.com/design/1WKLjA2rnP1nQE0aQNuV57/CB-Post?node-id=302-13439&t=3bD8M1ytT5ClNcWs-1
[20/08/24, 12:01:28 AM] Aman: isme aisa lag rha h ki you r about to 😘 me
[20/08/24, 12:02:46 AM] Aman: kya hua?
[21/08/24, 1:20:48 AM] Aman: bus 2 min huh
[21/08/24, 1:20:54 AM] Aman: phir karte h
[21/08/24, 1:22:46 AM] O2: Ok
[23/08/24, 12:43:22 AM] Aman: 1 min bus
[25/08/24, 11:27:55 AM] Aman: https://youtu.be/s7kK1gBeHcE?si=GxF5rK6h32CnfdqB
‎[26/08/24, 2:53:49 AM] Aman: chairman.pdf • ‎1 page ‎document omitted
‎[27/08/24, 11:49:24 PM] O2: SIH-super-final-2024-Udyan_Sathi.pptx ‎document omitted
[28/08/24, 11:51:15 PM] Aman: kyabhua?
[28/08/24, 11:51:26 PM] O2: 2 mmin
[28/08/24, 11:51:46 PM] Aman: ok
‎[29/08/24, 10:20:38 PM] Aman: ‎audio omitted
[29/08/24, 10:21:23 PM] Aman: samaj gyi?
[29/08/24, 10:21:43 PM] O2: Hmm
[29/08/24, 10:21:53 PM] O2: Free ho?
[29/08/24, 10:23:16 PM] Aman: umm bus thoda bahut pad rha tha
[29/08/24, 10:23:22 PM] Aman: 11 late toh nhi hoga?
[29/08/24, 10:23:25 PM] Aman: 11 to 12?
[29/08/24, 10:24:20 PM] O2: Okay👍
[29/08/24, 10:24:29 PM] Aman: wah
[29/08/24, 10:25:06 PM] O2: Kya
[29/08/24, 10:25:10 PM] Aman: kajal
[29/08/24, 10:25:14 PM] O2: Aman
[29/08/24, 10:25:32 PM] Aman: 😂😂😂
[29/08/24, 10:27:47 PM] O2: Isme usne vli kya baat h
[29/08/24, 11:24:24 PM] Aman: h toh😂
[30/08/24, 12:36:23 AM] Aman: kya hua?
[31/08/24, 1:01:48 AM] Aman: https://rave.watch/PHTP6
[31/08/24, 1:05:09 AM] O2: https://rave.watch/mrck7
[31/08/24, 2:09:14 AM] O2: leave kyu kar diya?
[31/08/24, 2:10:23 AM] Aman: Hu toh
[31/08/24, 2:10:45 AM] O2: message aya tha aman has left
[31/08/24, 2:10:52 AM] Aman: Ok
[31/08/24, 1:50:31 PM] O2: So gye kya
[31/08/24, 2:09:13 PM] Aman: Kyu?
[31/08/24, 2:27:56 PM] O2: Aise hi
[31/08/24, 2:28:10 PM] Aman: Hmm bolo
[31/08/24, 2:29:31 PM] Aman: ?
[31/08/24, 2:29:45 PM] O2: Ek jagah baat kro na😂
[31/08/24, 2:29:54 PM] Aman: Who started?
[31/08/24, 2:30:20 PM] O2: Vo to tumne message dekha nhi tha na isiliye
[31/08/24, 2:30:52 PM] Aman: Toh tumhe kya laga
[31/08/24, 2:31:23 PM] Aman: Is no. Vale message Aman ignore kar rha toh dusre me karte h?
[31/08/24, 2:31:32 PM] O2: Mujhe laga ho skta h lappy use kar rhe ho phone na dekha ho
[31/08/24, 2:31:53 PM] O2: Hmm hmm
[31/08/24, 2:32:01 PM] Aman: Did you mean mac?
[31/08/24, 2:32:08 PM] Aman: Ok axa not a bad idea!
[31/08/24, 2:32:08 PM] O2: Nhi
[31/08/24, 2:32:11 PM] O2: Lappy
[31/08/24, 2:32:29 PM] Aman: Laptop toh h hi nhi mere pass na par?
[31/08/24, 2:32:45 PM] O2: Kate hue seb vala laptop
[31/08/24, 2:32:48 PM] O2: Bhul gye kya
[31/08/24, 2:32:58 PM] Aman: Axa theek h😂😂
[31/08/24, 2:33:04 PM] O2: Hm😂
[31/08/24, 2:33:15 PM] Aman: Ji
[31/08/24, 2:33:23 PM] Aman: Kya kar rhi thi tum phir?
[31/08/24, 2:33:31 PM] O2: Sone ja rahi
[31/08/24, 2:33:47 PM] Aman: Akele,?🥺
[31/08/24, 2:34:19 PM] O2: Tum hi ho gym ja rhe 🙄
[31/08/24, 2:34:31 PM] O2: Mai to ready hu
[31/08/24, 2:34:37 PM] Aman: 😂😂
[31/08/24, 2:34:40 PM] Aman: Axa
[31/08/24, 2:34:50 PM] Aman: But GH me aa nhi sakta na?
[31/08/24, 2:35:20 PM] O2: Body nhi to Awaz to aa skti h na
[31/08/24, 2:35:44 PM] Aman: Oo axa
[31/08/24, 2:35:50 PM] Aman: Tumhe pata h
[31/08/24, 2:35:55 PM] O2: Nhi
[31/08/24, 2:36:01 PM] Aman: Jab mujhe tumhari kafi yaad aati h na
[31/08/24, 2:36:07 PM] O2: Hm
[31/08/24, 2:36:21 PM] Aman: Tab bus pillow samaj kar so jata hu
[31/08/24, 2:36:51 PM] O2: Thik h fir mai bhi ye try krti hu
[31/08/24, 2:37:01 PM] Aman: Hmm karlo
[31/08/24, 2:37:12 PM] O2: Mind mat Krna sone me idhar udhar touch ho jaye to ‎<This message was edited>
[31/08/24, 2:37:56 PM] Aman: Arre nhi nhi😂😂👍🏻
[31/08/24, 2:38:15 PM] Aman: Good night then😘❤️
[31/08/24, 2:38:26 PM] Aman: Sweet dreams
[31/08/24, 2:39:01 PM] Aman: Love you my Love❤️
[31/08/24, 2:39:01 PM] O2: Yeah good night
[31/08/24, 2:39:11 PM] O2: 2/0🤗
‎[01/09/24, 12:26:25 AM] O2: ‎image omitted
‎[01/09/24, 12:26:25 AM] O2: ‎image omitted
‎[01/09/24, 12:26:26 AM] O2: ‎image omitted
‎[01/09/24, 12:26:26 AM] O2: ‎image omitted
‎[01/09/24, 12:26:26 AM] O2: ‎image omitted
‎[01/09/24, 12:26:27 AM] O2: ‎image omitted
‎[01/09/24, 12:26:27 AM] O2: ‎image omitted
‎[01/09/24, 12:26:27 AM] O2: ‎image omitted
‎[01/09/24, 12:28:01 AM] O2: ‎image omitted
‎[01/09/24, 12:28:10 AM] Aman: ‎image omitted
‎[01/09/24, 12:29:17 AM] Aman: ‎image omitted
‎[01/09/24, 12:30:57 AM] Aman: ‎image omitted
‎[01/09/24, 12:31:55 AM] O2: ‎image omitted
[01/09/24, 12:57:45 AM] Aman: 1,3,5 kajal ( sun tues thurday) ‎<This message was edited>
[01/09/24, 12:58:01 AM] Aman: 2,4,6 Aman( Mon Wed Friday)
[01/09/24, 12:58:16 AM] Aman: saturday rule
[01/09/24, 12:58:24 AM] Aman: 1st and 3rd Sat Aman
[01/09/24, 12:58:32 AM] Aman: 2nd and 4th sat Kajal
[01/09/24, 1:33:19 AM] Aman: mujhe half an hr abhi aur lagega
[01/09/24, 1:33:27 AM] Aman: tumhe neend aa rhi toh so jao
[01/09/24, 1:52:04 AM] O2: mai bhi padh rhi
[01/09/24, 1:53:51 AM] Aman: Ok👍
‎[01/09/24, 2:18:31 AM] Aman: ‎image omitted
[01/09/24, 10:51:30 PM] Aman: sunti ho! ‎<This message was edited>
[01/09/24, 10:58:07 PM] O2: G boliye
[01/09/24, 10:58:28 PM] Aman: 🥰
[01/09/24, 10:58:38 PM] Aman: ds ki decode bhej dijiye
[01/09/24, 10:59:05 PM] O2: Ok
‎[01/09/24, 11:03:19 PM] O2: Data_Structures.pdf • ‎200 pages ‎document omitted
[01/09/24, 11:03:55 PM] Aman: ok
‎[03/09/24, 12:11:19 AM] Aman: ‎image omitted
[03/09/24, 12:16:22 AM] O2: https://www.figma.com/design/RRyIGvQgiZZo8hZ2yBZsap/Untitled?node-id=0-1&t=T8bWX0ewUb8XDkKF-1
‎[03/09/24, 12:22:12 AM] Aman: ‎image omitted
[03/09/24, 1:07:53 AM] O2: https://www.canva.com/design/DAGPoopGx_0/wePT-nwEFHZbD1O13lmflw/edit
[03/09/24, 1:12:15 AM] O2: ‎This message was deleted.
[03/09/24, 1:12:23 AM] O2: https://www.canva.com/design/DAGPoopGx_0/wePT-nwEFHZbD1O13lmflw/edit?utm_content=DAGPoopGx_0&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
‎[03/09/24, 6:49:43 PM] Aman: ‎image omitted
[03/09/24, 6:50:07 PM] O2: Palindrome
[03/09/24, 10:46:03 PM] Aman: [[1,2,3],[2,2,9],[1,2,3]] ‎<This message was edited>
[03/09/24, 10:46:19 PM] Aman: ‎You deleted this message.
[03/09/24, 10:47:05 PM] Aman: 9 ke bare me soche toh
[03/09/24, 10:47:09 PM] Aman: matrix ki nazro se
[03/09/24, 10:47:13 PM] Aman: it is
[03/09/24, 10:47:15 PM] Aman: 1 2 3
[03/09/24, 10:47:17 PM] Aman: 2 2 9
[03/09/24, 10:47:19 PM] Aman: 1 2 3
[03/09/24, 10:47:40 PM] Aman: means 9 is at 2,3 right?
[03/09/24, 10:48:03 PM] Aman: array ki nazro se 9 is at m[1][2]
‎[03/09/24, 11:05:08 PM] Aman: ‎image omitted
‎[04/09/24, 11:12:10 AM] O2: ‎image omitted
‎[04/09/24, 11:12:11 AM] O2: ‎image omitted
‎[04/09/24, 11:12:11 AM] O2: ‎image omitted
‎[04/09/24, 11:12:11 AM] O2: ‎image omitted
‎[04/09/24, 11:12:12 AM] O2: ‎image omitted
‎[04/09/24, 11:12:12 AM] O2: ‎image omitted
