[25/04/24, 18:52:55] O2: Shsus
‎[07/06/24, 19:45:20] O2: ‎video omitted
[07/06/24, 19:45:28] O2: Ab ho gyi sari
[07/06/24, 19:45:35] Aman: .
[07/06/24, 19:46:16] Aman: Not yet
[07/06/24, 19:47:11] O2: Ab konsi bachi h?
[07/06/24, 19:47:32] Aman: Yeh bhi batana padega ab?
[07/06/24, 19:47:49] Aman: Rest marine drive pics
[07/06/24, 19:48:13] O2: Itni hi to thi
[07/06/24, 19:48:27] Aman: Stop lying kajal pls
[07/06/24, 19:48:49] Aman: Why u don't wish to send 
Atleast tell?
[07/06/24, 19:49:25] O2: Ek min achha
[07/06/24, 19:49:44] Aman: Ok
‎[07/06/24, 19:50:06] O2: ‎image omitted
‎[07/06/24, 19:50:08] O2: ‎image omitted
‎[07/06/24, 19:50:08] O2: ‎image omitted
‎[07/06/24, 19:50:08] O2: ‎image omitted
‎[07/06/24, 19:50:09] O2: ‎image omitted
‎[07/06/24, 19:50:09] O2: ‎image omitted
‎[07/06/24, 19:50:10] O2: ‎image omitted
‎[07/06/24, 19:50:10] O2: ‎image omitted
‎[07/06/24, 19:50:12] O2: ‎image omitted
‎[07/06/24, 19:50:12] O2: ‎image omitted
‎[07/06/24, 19:50:13] O2: ‎image omitted
‎[07/06/24, 19:50:13] O2: ‎video omitted
[07/06/24, 19:50:21] O2: Mujhe laga send kar diya
‎[07/06/24, 19:50:21] O2: ‎video omitted
‎[07/06/24, 19:50:21] O2: ‎image omitted
‎[07/06/24, 19:50:22] O2: ‎image omitted
‎[07/06/24, 19:50:22] O2: ‎image omitted
‎[07/06/24, 19:50:22] O2: ‎image omitted
[07/06/24, 19:50:50] Aman: Axa ok np
[07/06/24, 19:51:02] Aman: Thanks
[07/06/24, 19:51:02] O2: Hm
[07/06/24, 19:51:19] Aman: Tumhe pata h vaise !
[07/06/24, 19:51:40] Aman: Aaj tumhare bhaiya Ghar aaye the mere
[07/06/24, 19:51:48] O2: Ha btaya tha
[07/06/24, 19:52:02] Aman: But us time just papa aaye hue the
[07/06/24, 19:52:10] Aman: Aur mumma akeli thi
[07/06/24, 19:52:20] O2: Achha
[07/06/24, 19:52:30] Aman: Toh Pani aur sweets ke alawa jyada kuch tha hi nahi ‎<This message was edited>
[07/06/24, 19:52:37] Aman: Unko bekar toh nhi laga hoga na?
[07/06/24, 19:52:46] O2: Tum ye kyu bta rhe ho😂
[07/06/24, 19:53:07] O2: Are Aisa kuchh discussion hi nhi hua tha
[07/06/24, 19:53:17] O2: Bilkul bhi nhi
[07/06/24, 19:53:25] Aman: Axa theek h
[07/06/24, 19:53:29] Aman: Hmm vo toh pata h
[07/06/24, 19:53:46] Aman: Tumhari scooty shi ho gyi kya?
[07/06/24, 19:53:56] O2: Puri tarah se nhi
[07/06/24, 19:54:05] Aman: Axa mere eardopes tumhare pass h kya ek bari check kar lena
[07/06/24, 19:54:14] O2: Thik h
[07/06/24, 19:54:21] Aman: Yep
[07/06/24, 19:54:35] Aman: Bus itna hi kehna tha
[07/06/24, 19:54:45] O2: Okay
[07/06/24, 19:54:52] Aman: Yep
[07/06/24, 19:54:59] Aman: Good night kajal!
[07/06/24, 19:55:03] Aman: Take care
[07/06/24, 19:55:08] O2: Good night
[07/06/24, 19:55:12] O2: You too
‎[29/07/24, 01:30:33] Aman: ‎image omitted
[29/07/24, 01:32:08] Aman: ‎You deleted this message.
‎[29/07/24, 01:33:17] O2: ‎image omitted
‎[01/08/24, 20:04:00] Aman: SingleFileDownload.pdf • ‎1 page ‎document omitted
[01/08/24, 20:28:51] O2: ?
[01/08/24, 20:33:50] Aman: Galti se bhej di
[01/08/24, 23:52:25] Aman: yep
[01/08/24, 23:52:37] Aman: isme hi message karna ok abhi!
[01/08/24, 23:54:50] Aman: tum?
[01/08/24, 23:55:50] O2: ha
[01/08/24, 23:55:54] Aman: ok
[01/08/24, 23:56:00] Aman: axa kajal
[01/08/24, 23:56:12] O2: hm
[01/08/24, 23:56:26] Aman: ek jhatka du?
[01/08/24, 23:56:35] O2: hm
[01/08/24, 23:56:42] Aman: maths tut likh liya?
[01/08/24, 23:57:00] O2: nhi🥲
[01/08/24, 23:57:11] Aman: bilkul bhi nhi?
[01/08/24, 23:57:19] O2: ha pta h kal h
[01/08/24, 23:57:36] O2: kuchh kiye h
[01/08/24, 23:57:41] Aman: ok
[01/08/24, 23:58:26] Aman: baaki kab kaogi phir?
[01/08/24, 23:58:45] O2: kal
[01/08/24, 23:58:54] Aman: ok
[01/08/24, 23:59:31] Aman: ok then call kare kya phir abhi?
[01/08/24, 23:59:39] Aman: or baad me?
[02/08/24, 00:00:26] O2: thik h krte h
[02/08/24, 00:00:51] Aman: ok 1 min aa rha phir
[02/08/24, 00:04:00] O2: thik h
‎[02/08/24, 00:38:39] Aman: ‎image omitted
[02/08/24, 01:13:25] Aman: kaun h?
‎[02/08/24, 19:33:50] Aman: ‎GIF omitted
[02/08/24, 19:34:06] Aman: 😍😍😘🥰
[02/08/24, 19:34:18] Aman: ❤️
[02/08/24, 20:02:05] O2: Kya hua
[02/08/24, 20:07:50] Aman: Yeh bhi I have to tell u?
[02/08/24, 20:08:20] O2: 😗😗
[02/08/24, 20:08:35] O2: Oh dp?
[02/08/24, 21:47:38] Aman: Ji😘🥰😍
[02/08/24, 21:55:55] O2: achha😂
‎[07/08/24, 00:21:50] Aman: ‎image omitted
‎[07/08/24, 02:16:38] O2: ‎image omitted
[08/08/24, 19:31:51] Aman: ❤️
‎[08/08/24, 19:36:19] O2: M3 deocde (1) (1) (1).pdf • ‎323 pages ‎document omitted
‎[11/08/24, 03:08:25] O2: ‎image omitted
‎[15/08/24, 22:55:52] Aman: ‎image omitted
[15/08/24, 23:01:16] O2: 🥵🥵
‎[16/08/24, 00:32:49] O2: ‎image omitted
‎[16/08/24, 00:36:22] O2: ‎image omitted
[18/08/24, 00:46:57] Aman: busy ho kya?
[18/08/24, 00:47:05] Aman: another call
[18/08/24, 00:47:06] O2: Nhi to
[18/08/24, 00:47:14] O2: Tumne cit kiya🥺
[18/08/24, 00:47:20] Aman: ok
[18/08/24, 00:47:27] Aman: call place nhi ho rhi
[18/08/24, 00:47:29] Aman: u do
[18/08/24, 00:48:24] O2: Network issue hai kya
[18/08/24, 00:48:28] O2: Tum kro
[18/08/24, 00:48:43] Aman: axa wait
‎[18/08/24, 01:54:29] O2: ‎image omitted
‎[18/08/24, 01:55:13] O2: ‎image omitted
‎[18/08/24, 01:55:49] O2: ‎image omitted
[18/08/24, 01:56:17] Aman: aur
[18/08/24, 01:59:03] Aman: nhi aayi
‎[18/08/24, 01:59:25] O2: ‎image omitted
‎[18/08/24, 01:59:28] O2: ‎image omitted
‎[18/08/24, 01:59:30] O2: ‎image omitted
‎[18/08/24, 01:59:30] O2: ‎image omitted
‎[18/08/24, 01:59:30] O2: ‎image omitted
‎[18/08/24, 01:59:31] O2: ‎image omitted
‎[18/08/24, 01:59:33] O2: ‎image omitted
‎[18/08/24, 01:59:33] O2: ‎image omitted
‎[18/08/24, 01:59:34] O2: ‎image omitted
‎[18/08/24, 01:59:34] O2: ‎image omitted
‎[18/08/24, 01:59:34] O2: ‎image omitted
‎[18/08/24, 01:59:35] O2: ‎image omitted
‎[18/08/24, 01:59:35] O2: ‎image omitted
[18/08/24, 01:59:35] O2: ‎This message was deleted.
[18/08/24, 01:59:36] O2: ‎This message was deleted.
[18/08/24, 01:59:36] O2: ‎This message was deleted.
‎[18/08/24, 01:59:37] O2: ‎image omitted
‎[18/08/24, 01:59:38] O2: ‎image omitted
‎[18/08/24, 01:59:38] O2: ‎image omitted
‎[18/08/24, 01:59:41] O2: ‎image omitted
‎[18/08/24, 01:59:41] O2: ‎image omitted
‎[18/08/24, 01:59:42] O2: ‎image omitted
‎[18/08/24, 01:59:42] O2: ‎image omitted
‎[18/08/24, 01:59:43] O2: ‎image omitted
‎[18/08/24, 01:59:43] O2: ‎image omitted
[18/08/24, 01:59:43] O2: ‎This message was deleted.
‎[18/08/24, 01:59:44] O2: ‎image omitted
[18/08/24, 01:59:45] O2: ‎This message was deleted.
‎[18/08/24, 01:59:45] O2: ‎image omitted
‎[18/08/24, 01:59:46] O2: ‎image omitted
‎[18/08/24, 01:59:47] O2: ‎image omitted
‎[18/08/24, 01:59:48] O2: ‎image omitted
‎[18/08/24, 01:59:48] O2: ‎image omitted
‎[18/08/24, 01:59:49] O2: ‎image omitted
‎[18/08/24, 01:59:49] O2: ‎image omitted
‎[18/08/24, 01:59:50] O2: ‎image omitted
‎[18/08/24, 01:59:50] O2: ‎image omitted
‎[18/08/24, 01:59:51] O2: ‎image omitted
‎[18/08/24, 01:59:52] O2: ‎image omitted
‎[18/08/24, 01:59:52] O2: ‎image omitted
‎[18/08/24, 01:59:54] O2: ‎image omitted
‎[18/08/24, 01:59:55] O2: ‎image omitted
‎[18/08/24, 01:59:56] O2: ‎image omitted
‎[18/08/24, 01:59:56] O2: ‎image omitted
‎[18/08/24, 01:59:57] O2: ‎image omitted
‎[18/08/24, 01:59:58] O2: ‎image omitted
‎[18/08/24, 01:59:58] O2: ‎image omitted
‎[18/08/24, 01:59:59] O2: ‎image omitted
‎[18/08/24, 01:59:59] O2: ‎image omitted
‎[18/08/24, 02:00:00] O2: ‎image omitted
‎[18/08/24, 02:00:00] O2: ‎image omitted
‎[18/08/24, 02:00:01] O2: ‎image omitted
‎[18/08/24, 02:00:01] O2: ‎image omitted
‎[18/08/24, 02:00:01] O2: ‎image omitted
‎[18/08/24, 02:00:04] O2: ‎image omitted
‎[18/08/24, 02:00:04] O2: ‎image omitted
‎[18/08/24, 02:00:05] O2: ‎image omitted
‎[18/08/24, 02:00:05] O2: ‎image omitted
‎[18/08/24, 02:00:06] O2: ‎image omitted
‎[18/08/24, 02:00:06] O2: ‎image omitted
‎[18/08/24, 02:00:07] O2: ‎image omitted
‎[18/08/24, 02:00:07] O2: ‎image omitted
[18/08/24, 02:00:08] O2: ‎This message was deleted.
[18/08/24, 02:00:08] O2: ‎This message was deleted.
[18/08/24, 02:00:09] O2: ‎This message was deleted.
[18/08/24, 02:00:09] O2: ‎This message was deleted.
[18/08/24, 02:00:10] O2: ‎This message was deleted.
[18/08/24, 02:00:11] O2: ‎This message was deleted.
[18/08/24, 02:00:12] O2: ‎This message was deleted.
‎[18/08/24, 02:00:12] O2: ‎image omitted
‎[18/08/24, 02:00:12] O2: ‎image omitted
‎[18/08/24, 02:00:13] O2: ‎image omitted
‎[18/08/24, 02:00:13] O2: ‎image omitted
‎[18/08/24, 02:00:13] O2: ‎image omitted
‎[18/08/24, 02:00:14] O2: ‎image omitted
[18/08/24, 15:09:29] O2: https://www.figma.com/design/1WKLjA2rnP1nQE0aQNuV57/CB-Post?node-id=302-13439&t=3bD8M1ytT5ClNcWs-1
[20/08/24, 00:01:28] Aman: isme aisa lag rha h ki you r about to 😘 me
[20/08/24, 00:02:46] Aman: kya hua?
[21/08/24, 01:20:48] Aman: bus 2 min huh
[21/08/24, 01:20:54] Aman: phir karte h
[21/08/24, 01:22:46] O2: Ok
[23/08/24, 00:43:22] Aman: 1 min bus
[25/08/24, 11:27:55] Aman: https://youtu.be/s7kK1gBeHcE?si=GxF5rK6h32CnfdqB
‎[26/08/24, 02:53:49] Aman: chairman.pdf • ‎1 page ‎document omitted
‎[27/08/24, 23:49:24] O2: SIH-super-final-2024-Udyan_Sathi.pptx ‎document omitted
[28/08/24, 23:51:15] Aman: kyabhua?
[28/08/24, 23:51:26] O2: 2 mmin
[28/08/24, 23:51:46] Aman: ok
‎[29/08/24, 22:20:38] Aman: ‎audio omitted
[29/08/24, 22:21:23] Aman: samaj gyi?
[29/08/24, 22:21:43] O2: Hmm
[29/08/24, 22:21:53] O2: Free ho?
[29/08/24, 22:23:16] Aman: umm bus thoda bahut pad rha tha
[29/08/24, 22:23:22] Aman: 11 late toh nhi hoga?
[29/08/24, 22:23:25] Aman: 11 to 12?
[29/08/24, 22:24:20] O2: Okay👍
[29/08/24, 22:24:29] Aman: wah
[29/08/24, 22:25:06] O2: Kya
[29/08/24, 22:25:10] Aman: kajal
[29/08/24, 22:25:14] O2: Aman
[29/08/24, 22:25:32] Aman: 😂😂😂
[29/08/24, 22:27:47] O2: Isme usne vli kya baat h
[29/08/24, 23:24:24] Aman: h toh😂
[30/08/24, 00:36:23] Aman: kya hua?
[31/08/24, 01:01:48] Aman: https://rave.watch/PHTP6
[31/08/24, 01:05:09] O2: https://rave.watch/mrck7
[31/08/24, 02:09:14] O2: leave kyu kar diya?
[31/08/24, 02:10:23] Aman: Hu toh
[31/08/24, 02:10:45] O2: message aya tha aman has left
[31/08/24, 02:10:52] Aman: Ok
[31/08/24, 13:50:31] O2: So gye kya
[31/08/24, 14:09:13] Aman: Kyu?
[31/08/24, 14:27:56] O2: Aise hi
[31/08/24, 14:28:10] Aman: Hmm bolo
[31/08/24, 14:29:31] Aman: ?
[31/08/24, 14:29:45] O2: Ek jagah baat kro na😂
[31/08/24, 14:29:54] Aman: Who started?
[31/08/24, 14:30:20] O2: Vo to tumne message dekha nhi tha na isiliye
[31/08/24, 14:30:52] Aman: Toh tumhe kya laga
[31/08/24, 14:31:23] Aman: Is no. Vale message Aman ignore kar rha toh dusre me karte h?
[31/08/24, 14:31:32] O2: Mujhe laga ho skta h lappy use kar rhe ho phone na dekha ho
[31/08/24, 14:31:53] O2: Hmm hmm
[31/08/24, 14:32:01] Aman: Did you mean mac?
[31/08/24, 14:32:08] Aman: Ok axa not a bad idea!
[31/08/24, 14:32:08] O2: Nhi
[31/08/24, 14:32:11] O2: Lappy
[31/08/24, 14:32:29] Aman: Laptop toh h hi nhi mere pass na par?
[31/08/24, 14:32:45] O2: Kate hue seb vala laptop
[31/08/24, 14:32:48] O2: Bhul gye kya
[31/08/24, 14:32:58] Aman: Axa theek h😂😂
[31/08/24, 14:33:04] O2: Hm😂
[31/08/24, 14:33:15] Aman: Ji
[31/08/24, 14:33:23] Aman: Kya kar rhi thi tum phir?
[31/08/24, 14:33:31] O2: Sone ja rahi
[31/08/24, 14:33:47] Aman: Akele,?🥺
[31/08/24, 14:34:19] O2: Tum hi ho gym ja rhe 🙄
[31/08/24, 14:34:31] O2: Mai to ready hu
[31/08/24, 14:34:37] Aman: 😂😂
[31/08/24, 14:34:40] Aman: Axa
[31/08/24, 14:34:50] Aman: But GH me aa nhi sakta na?
[31/08/24, 14:35:20] O2: Body nhi to Awaz to aa skti h na
[31/08/24, 14:35:44] Aman: Oo axa
[31/08/24, 14:35:50] Aman: Tumhe pata h
[31/08/24, 14:35:55] O2: Nhi
[31/08/24, 14:36:01] Aman: Jab mujhe tumhari kafi yaad aati h na
[31/08/24, 14:36:07] O2: Hm
[31/08/24, 14:36:21] Aman: Tab bus pillow samaj kar so jata hu
[31/08/24, 14:36:51] O2: Thik h fir mai bhi ye try krti hu
[31/08/24, 14:37:01] Aman: Hmm karlo
[31/08/24, 14:37:12] O2: Mind mat Krna sone me idhar udhar touch ho jaye to ‎<This message was edited>
[31/08/24, 14:37:56] Aman: Arre nhi nhi😂😂👍🏻
[31/08/24, 14:38:15] Aman: Good night then😘❤️
[31/08/24, 14:38:26] Aman: Sweet dreams
[31/08/24, 14:39:01] Aman: Love you my Love❤️
[31/08/24, 14:39:01] O2: Yeah good night
[31/08/24, 14:39:11] O2: 2/0🤗
‎[01/09/24, 00:26:25] O2: ‎image omitted
‎[01/09/24, 00:26:25] O2: ‎image omitted
‎[01/09/24, 00:26:26] O2: ‎image omitted
‎[01/09/24, 00:26:26] O2: ‎image omitted
‎[01/09/24, 00:26:26] O2: ‎image omitted
‎[01/09/24, 00:26:27] O2: ‎image omitted
‎[01/09/24, 00:26:27] O2: ‎image omitted
‎[01/09/24, 00:26:27] O2: ‎image omitted
‎[01/09/24, 00:28:01] O2: ‎image omitted
‎[01/09/24, 00:28:10] Aman: ‎image omitted
‎[01/09/24, 00:29:17] Aman: ‎image omitted
‎[01/09/24, 00:30:57] Aman: ‎image omitted
‎[01/09/24, 00:31:55] O2: ‎image omitted
[01/09/24, 00:57:45] Aman: 1,3,5 kajal ( sun tues thurday) ‎<This message was edited>
[01/09/24, 00:58:01] Aman: 2,4,6 Aman( Mon Wed Friday)
[01/09/24, 00:58:16] Aman: saturday rule
[01/09/24, 00:58:24] Aman: 1st and 3rd Sat Aman
[01/09/24, 00:58:32] Aman: 2nd and 4th sat Kajal
[01/09/24, 01:33:19] Aman: mujhe half an hr abhi aur lagega
[01/09/24, 01:33:27] Aman: tumhe neend aa rhi toh so jao
[01/09/24, 01:52:04] O2: mai bhi padh rhi
[01/09/24, 01:53:51] Aman: Ok👍
‎[01/09/24, 02:18:31] Aman: ‎image omitted
[01/09/24, 22:51:30] Aman: sunti ho! ‎<This message was edited>
[01/09/24, 22:58:07] O2: G boliye
[01/09/24, 22:58:28] Aman: 🥰
[01/09/24, 22:58:38] Aman: ds ki decode bhej dijiye
[01/09/24, 22:59:05] O2: Ok
‎[01/09/24, 23:03:19] O2: Data_Structures.pdf • ‎200 pages ‎document omitted
[01/09/24, 23:03:55] Aman: ok
‎[03/09/24, 00:11:19] Aman: ‎image omitted
[03/09/24, 00:16:22] O2: https://www.figma.com/design/RRyIGvQgiZZo8hZ2yBZsap/Untitled?node-id=0-1&t=T8bWX0ewUb8XDkKF-1
‎[03/09/24, 00:22:12] Aman: ‎image omitted
[03/09/24, 01:07:53] O2: https://www.canva.com/design/DAGPoopGx_0/wePT-nwEFHZbD1O13lmflw/edit
[03/09/24, 01:12:15] O2: ‎This message was deleted.
[03/09/24, 01:12:23] O2: https://www.canva.com/design/DAGPoopGx_0/wePT-nwEFHZbD1O13lmflw/edit?utm_content=DAGPoopGx_0&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
‎[03/09/24, 18:49:43] Aman: ‎image omitted
[03/09/24, 18:50:07] O2: Palindrome
[03/09/24, 22:46:03] Aman: [[1,2,3],[2,2,9],[1,2,3]] ‎<This message was edited>
[03/09/24, 22:46:19] Aman: ‎You deleted this message.
[03/09/24, 22:47:05] Aman: 9 ke bare me soche toh
[03/09/24, 22:47:09] Aman: matrix ki nazro se
[03/09/24, 22:47:13] Aman: it is
[03/09/24, 22:47:15] Aman: 1 2 3
[03/09/24, 22:47:17] Aman: 2 2 9
[03/09/24, 22:47:19] Aman: 1 2 3
[03/09/24, 22:47:40] Aman: means 9 is at 2,3 right?
[03/09/24, 22:48:03] Aman: array ki nazro se 9 is at m[1][2]
‎[03/09/24, 23:05:08] Aman: ‎image omitted
‎[04/09/24, 11:12:10] O2: ‎image omitted
‎[04/09/24, 11:12:11] O2: ‎image omitted
‎[04/09/24, 11:12:11] O2: ‎image omitted
‎[04/09/24, 11:12:11] O2: ‎image omitted
‎[04/09/24, 11:12:12] O2: ‎image omitted
‎[04/09/24, 11:12:12] O2: ‎image omitted
‎[04/09/24, 12:15:14] Aman: DCKT 8 - 11.pdf • ‎26 pages ‎document omitted
‎[04/09/24, 12:15:17] Aman: DCKT PRAC 1 - 3.pdf • ‎24 pages ‎document omitted
[04/09/24, 22:05:57] Aman: 2-3 min huh
[04/09/24, 22:14:52] Aman: https://onlinecourses.nptel.ac.in/noc24_hs175/preview
‎[04/09/24, 22:19:11] Aman: ‎image omitted
‎[04/09/24, 22:19:11] Aman: ‎image omitted
[04/09/24, 22:44:03] O2: Thoda time lgega
[04/09/24, 22:44:09] O2: Ye Neha aa gyi mere room me
[05/09/24, 00:13:15] Aman: hello
[05/09/24, 00:13:26] Aman: kya kar diya tumne?
[07/09/24, 22:28:11] O2: Call you in a while
[07/09/24, 22:28:39] Aman: Sure
[07/09/24, 22:44:38] Aman: sure
‎[07/09/24, 23:29:33] Aman: ‎image omitted
‎[07/09/24, 23:29:33] Aman: ‎image omitted
‎[07/09/24, 23:49:44] Aman: ‎image omitted
[09/09/24, 07:56:23] O2: https://photos.app.goo.gl/gGaFYduez6PpEy4H7
‎[10/09/24, 00:48:24] Aman: ‎video omitted
[10/09/24, 09:39:15] O2: Good morning 🤗
[10/09/24, 23:20:30] Aman: ‎You deleted this message.
‎[13/09/24, 22:24:01] O2: Academic Calendar 2024 - 25 Sem I.pdf • ‎5 pages ‎document omitted
‎[13/09/24, 22:50:55] O2: ‎image omitted
[13/09/24, 22:54:24] O2: https://www.redbus.in/search?fromCityName=Pune&fromCityId=130&toCityName=Dhule%20Indore%20Bypass,%20Dhule&toCityId=84509&onward=15-Sep-2024&srcCountry=null&destCountry=IND
[13/09/24, 23:48:24] Aman: 💕💕💕
[13/09/24, 23:48:44] O2: 🤗
[13/09/24, 23:49:01] Aman: Aaj heart shape banaya tha but nikle nhi hearts
[13/09/24, 23:49:11] Aman: Toh aise hi bhej diye
[13/09/24, 23:49:24] O2: Ha samjh gyi thi
‎[14/09/24, 22:25:55] O2: ‎image omitted
‎[14/09/24, 22:33:40] O2: ‎image omitted
‎[14/09/24, 22:54:36] Aman: ‎image omitted
‎[14/09/24, 22:54:37] Aman: ‎image omitted
[15/09/24, 00:30:08] Aman: 2 min
[15/09/24, 17:44:03] Aman: Dear Passenger,

Your Trip with *Ashok Travels Mandsaur Group* is Scheduled🚍, Please check the below details to Track your vehicle for *Pune* To *Indore*.

*PNR*: 1278363
*Vehicle Number*: NL07B0699
*Driver Details*: Rajendra Bhilwara 
*Contact Number*:  9982374931

*Live Tracking links*🗺️:http://trkg.in/JPUL10

Wishing you a Happy and Safe Journey🤝, Please maintain the travelling policy during the journey🙏.

Regards,
Ashok Travels Mandsaur Group
